query,search_volume,clicks,impressions,ctr,average_position
"how to learn python",1500,300,4000,7.5,3.2
"best python tutorials",1200,240,3500,6.8,4.1
"python data analysis",800,160,2500,6.4,5.0
"pandas library python",600,100,2000,5.0,6.3
"data science with python",900,180,2700,6.7,4.4
"python machine learning",1100,220,3200,6.9,3.8
"python for beginners",1300,260,3800,6.8,4.2
"advanced python techniques",700,140,2100,6.7,5.1
"python libraries list",950,190,2800,6.8,4.3
"python interview questions",1400,280,3900,7.2,3.5
